iter	Passed	Remaining
0	20	8604
1	40	8548
2	59	8381
3	79	8320
4	99	8309
5	119	8280
6	137	8186
7	166	8657
8	186	8600
9	206	8508
10	225	8441
11	244	8362
12	262	8284
13	282	8250
14	301	8211
15	321	8172
16	340	8127
17	359	8096
18	379	8060
19	398	8031
20	416	7980
21	436	7957
22	455	7914
23	474	7894
24	492	7843
25	511	7813
26	531	7795
27	550	7766
28	569	7740
29	589	7721
30	608	7695
31	627	7672
32	647	7649
33	667	7631
34	687	7618
35	706	7597
36	725	7573
37	745	7554
38	765	7538
39	784	7512
40	803	7489
41	823	7466
42	841	7440
43	860	7415
44	879	7390
45	899	7368
46	917	7343
47	937	7323
48	956	7299
49	975	7276
50	994	7255
51	1012	7225
52	1032	7206
53	1050	7180
54	1069	7157
55	1089	7140
56	1108	7117
57	1130	7113
58	1150	7095
59	1274	7708
60	1312	7788
61	1331	7752
62	1350	7717
63	1371	7690
64	1390	7659
65	1410	7627
66	1429	7595
67	1448	7560
68	1467	7531
69	1486	7497
70	1506	7467
71	1525	7437
72	1546	7415
73	1565	7383
74	1584	7352
75	1604	7323
76	1622	7290
77	1641	7262
78	1661	7236
79	1681	7210
80	1701	7183
81	1720	7154
82	1739	7127
83	1759	7099
84	1778	7071
85	1796	7041
86	1810	6990
87	1829	6964
88	1848	6937
89	1867	6910
90	1886	6882
91	1907	6862
92	1926	6835
93	1945	6807
94	1965	6786
95	1983	6757
96	2003	6733
97	2023	6710
98	2043	6688
99	2062	6662
100	2082	6638
101	2101	6612
102	2121	6590
103	2140	6564
104	2159	6540
105	2178	6515
106	2198	6491
107	2217	6468
108	2236	6443
109	2255	6416
110	2275	6395
111	2294	6371
112	2313	6347
113	2334	6326
114	2353	6303
115	2374	6283
116	2393	6260
117	2413	6237
118	2432	6215
119	2451	6190
120	2471	6168
121	2490	6144
122	2509	6121
123	2530	6101
124	2549	6079
125	2569	6056
126	2587	6031
127	2608	6011
128	2627	5987
129	2647	5966
130	2666	5943
131	2685	5920
132	2704	5897
133	2724	5876
134	2744	5854
135	2762	5830
136	2781	5807
137	2801	5785
138	2820	5762
139	2839	5740
140	2858	5717
141	2877	5694
142	2896	5672
143	2915	5648
144	2935	5627
145	2954	5604
146	2973	5582
147	2993	5561
148	3012	5540
149	3032	5518
150	3051	5497
151	3072	5477
152	3091	5455
153	3111	5434
154	3131	5414
155	3150	5392
156	3169	5370
157	3188	5348
158	3208	5327
159	3228	5306
160	3247	5284
161	3267	5263
162	3285	5240
163	3305	5220
164	3324	5197
165	3344	5177
166	3363	5155
167	3382	5134
168	3402	5113
169	3421	5092
170	3440	5070
171	3460	5050
172	3480	5029
173	3498	5006
174	3518	4985
175	3537	4965
176	3557	4944
177	3577	4924
178	3596	4902
179	3616	4881
180	3636	4861
181	3655	4840
182	3675	4820
183	3695	4799
184	3714	4778
185	3733	4756
186	3752	4735
187	3771	4713
188	3791	4694
189	3811	4673
190	3830	4653
191	3850	4632
192	3869	4611
193	3888	4590
194	3908	4569
195	3927	4549
196	3947	4529
197	3966	4507
198	3986	4487
199	4006	4467
200	4025	4446
201	4045	4425
202	4063	4404
203	4084	4384
204	4103	4363
205	4122	4342
206	4142	4322
207	4162	4302
208	4181	4281
209	4201	4261
210	4221	4241
211	4240	4220
212	4260	4200
213	4280	4180
214	4300	4160
215	4319	4139
216	4338	4118
217	4358	4098
218	4377	4077
219	4397	4057
220	4417	4037
221	4436	4016
222	4455	3996
223	4475	3975
224	4494	3954
225	4512	3933
226	4531	3913
227	4550	3892
228	4570	3871
229	4590	3851
230	4609	3830
231	4628	3810
232	4647	3789
233	4666	3768
234	4685	3748
235	4704	3727
236	4724	3708
237	4744	3688
238	4764	3667
239	4783	3647
240	4803	3627
241	4823	3607
242	4842	3587
243	4862	3566
244	4881	3546
245	4900	3526
246	4920	3506
247	4940	3486
248	4960	3466
249	4979	3445
250	4999	3425
251	5019	3406
252	5039	3386
253	5058	3365
254	5078	3345
255	5098	3325
256	5117	3305
257	5137	3285
258	5157	3265
259	5176	3245
260	5197	3225
261	5217	3206
262	5237	3186
263	5256	3165
264	5276	3145
265	5295	3125
266	5315	3105
267	5335	3085
268	5355	3065
269	5373	3045
270	5393	3024
271	5412	3004
272	5432	2984
273	5451	2964
274	5471	2944
275	5491	2924
276	5511	2904
277	5530	2884
278	5549	2864
279	5568	2844
280	5588	2824
281	5608	2804
282	5628	2784
283	5648	2764
284	5667	2744
285	5687	2724
286	5706	2704
287	5726	2684
288	5745	2664
289	5765	2644
290	5785	2624
291	5806	2604
292	5825	2584
293	5845	2564
294	5864	2544
295	5883	2524
296	5902	2504
297	5921	2483
298	5940	2463
299	5959	2443
300	5979	2423
301	5999	2403
302	6018	2383
303	6037	2363
304	6056	2343
305	6076	2323
306	6096	2303
307	6115	2283
308	6134	2263
309	6154	2243
310	6173	2223
311	6193	2203
312	6212	2183
313	6232	2163
314	6251	2143
315	6271	2123
316	6290	2103
317	6310	2083
318	6330	2063
319	6349	2043
320	6368	2023
321	6387	2003
322	6406	1983
323	6428	1964
324	6447	1944
325	6467	1924
326	6486	1904
327	6506	1884
328	6527	1864
329	6547	1845
330	6567	1825
331	6586	1805
332	6606	1785
333	6625	1765
334	6645	1745
335	6664	1725
336	6684	1705
337	6703	1685
338	6722	1665
339	6743	1646
340	6762	1626
341	6782	1606
342	6801	1586
343	6820	1566
344	6840	1546
345	6860	1526
346	6880	1507
347	6899	1486
348	6919	1467
349	6938	1447
350	6958	1427
351	6978	1407
352	6998	1387
353	7017	1367
354	7037	1348
355	7056	1328
356	7075	1308
357	7094	1288
358	7115	1268
359	7134	1248
360	7154	1228
361	7174	1209
362	7193	1189
363	7213	1169
364	7233	1149
365	7251	1129
366	7271	1109
367	7290	1089
368	7310	1069
369	7329	1049
370	7350	1030
371	7369	1010
372	7389	990
373	7409	970
374	7428	950
375	7447	930
376	7466	911
377	7485	891
378	7506	871
379	7525	851
380	7544	831
381	7563	811
382	7583	792
383	7603	772
384	7621	752
385	7642	732
386	7663	712
387	7682	693
388	7702	673
389	7722	653
390	7735	633
391	7756	613
392	7776	593
393	7796	573
394	7816	554
395	7836	534
396	7855	514
397	7874	494
398	7894	474
399	7915	455
400	7935	435
401	7956	415
402	7975	395
403	7994	375
404	8014	356
405	8034	336
406	8052	316
407	8072	296
408	8091	276
409	8111	257
410	8130	237
411	8149	217
412	8168	197
413	8188	178
414	8208	158
415	8227	138
416	8247	118
417	8267	98
418	8287	79
419	8307	59
420	8326	39
421	8345	19
422	8366	0
